step,type,pos_r,pos_c,pos_dr,pos_dc
349,0,24,17,0,-1
350,0,24,16,0,-1
351,0,24,15,0,-1
352,0,23,15,-1,0
353,0,23,16,0,1
354,0,23,17,0,1
355,0,23,18,0,1
356,0,23,19,0,1
357,0,23,20,0,1
358,0,23,21,0,1
359,1,16,1,0,0
359,2,23,22,0,1
360,0,23,23,0,1
361,0,23,24,0,1
362,0,22,24,-1,0
363,0,22,23,0,-1
364,0,22,22,0,-1
365,0,22,21,0,-1
366,0,22,20,0,-1
367,0,22,19,0,-1
368,0,22,18,0,-1
369,0,22,17,0,-1
370,0,22,16,0,-1
371,0,22,15,0,-1
372,0,22,14,0,-1
373,0,22,13,0,-1
374,0,22,12,0,-1
375,0,21,12,-1,0
376,0,21,13,0,1
377,0,21,14,0,1
378,0,21,15,0,1
379,0,21,16,0,1
380,0,21,17,0,1
381,0,21,18,0,1
382,0,21,19,0,1
383,0,21,20,0,1
384,0,21,21,0,1
385,0,20,21,-1,0
386,0,20,20,0,-1
387,0,20,19,0,-1
388,0,20,18,0,-1
389,0,20,17,0,-1
390,0,20,16,0,-1
391,0,20,15,0,-1
392,0,20,14,0,-1
393,0,20,13,0,-1
394,0,20,12,0,-1
395,0,20,11,0,-1
396,0,20,12,0,1
397,4,20,13,0,0
